K,S,q,r,sigma,t,price
50.0,90.0,0.0991,0.0991,0.001,1.0,0.0
50.0,90.0,0.0991,0.0991,0.1611177812950031,0.25,1.030488725103391e-13
50.0,90.0,0.0991,0.0991,0.1611177812950031,0.5,1.6328648173110148e-07
50.0,90.0,0.0991,0.0991,0.1611177812950031,0.75,2.3651849568200238e-05
50.0,90.0,0.0991,0.0991,0.1611177812950031,1.0,0.0003134491461535033
50.0,90.0,0.0991,0.0991,0.26330071698522917,0.25,7.0885137538465664e-06
50.0,90.0,0.0991,0.0991,0.26330071698522917,0.5,0.002570093128081407
50.0,90.0,0.0991,0.0991,0.26330071698522917,0.75,0.02218998735714975
50.0,90.0,0.0991,0.0991,0.26330071698522917,1.0,0.07076561283200632
50.0,90.0,0.0991,0.0991,0.38590108597281136,0.25,0.0040768733560676606
50.0,90.0,0.0991,0.0991,0.38590108597281136,0.5,0.09621077075007362
50.0,90.0,0.0991,0.0991,0.38590108597281136,0.75,0.3258998534577123
50.0,90.0,0.0991,0.0991,0.38590108597281136,1.0,0.6428773433118687
50.0,90.0,0.0991,0.0991,0.7066863283197075,0.25,0.4566121993816253
50.0,90.0,0.0991,0.0991,0.7066863283197075,0.5,1.8397558980947153
50.0,90.0,0.0991,0.0991,0.7066863283197075,0.75,3.323416931169705
50.0,90.0,0.0991,0.0991,0.7066863283197075,1.0,4.700234178996371
50.0,90.0,0.0991,0.14365,0.001,0.25,0.0
50.0,90.0,0.0991,0.14365,0.001,0.5,0.0
50.0,90.0,0.0991,0.14365,0.001,0.75,0.0
50.0,90.0,0.0991,0.14365,0.001,1.0,0.0
50.0,90.0,0.0991,0.14365,0.1611177812950031,0.25,3.571748624406195e-14
50.0,90.0,0.0991,0.14365,0.1611177812950031,0.5,5.398253957828435e-08
50.0,90.0,0.0991,0.14365,0.1611177812950031,0.75,7.478068797774936e-06
50.0,90.0,0.0991,0.14365,0.1611177812950031,1.0,9.497909103184874e-05
50.0,90.0,0.0991,0.14365,0.26330071698522917,0.25,4.6566411799753305e-06
50.0,90.0,0.0991,0.14365,0.26330071698522917,0.5,0.001627739868598261
50.0,90.0,0.0991,0.14365,0.26330071698522917,0.75,0.013597054397169711
50.0,90.0,0.0991,0.14365,0.26330071698522917,1.0,0.042055373835252194
50.0,90.0,0.0991,0.14365,0.38590108597281136,0.25,0.003293745140893205
50.0,90.0,0.0991,0.14365,0.38590108597281136,0.5,0.07544771606287791
50.0,90.0,0.0991,0.14365,0.38590108597281136,0.75,0.24897966830151827
50.0,90.0,0.0991,0.14365,0.38590108597281136,1.0,0.4795815807011224
50.0,90.0,0.0991,0.14365,0.7066863283197075,0.25,0.4206951425014892
50.0,90.0,0.0991,0.14365,0.7066863283197075,0.5,1.6600695606955027
50.0,90.0,0.0991,0.14365,0.7066863283197075,0.75,2.9454634994422317
50.0,90.0,0.0991,0.14365,0.7066863283197075,1.0,4.098128820402234
50.0,90.0,0.0991,0.1882,0.001,0.25,0.0
50.0,90.0,0.0991,0.1882,0.001,0.5,0.0
50.0,90.0,0.0991,0.1882,0.001,0.75,0.0
50.0,90.0,0.0991,0.1882,0.001,1.0,0.0
50.0,90.0,0.0991,0.1882,0.1611177812950031,0.25,1.2152826392633304e-14
50.0,90.0,0.0991,0.1882,0.1611177812950031,0.5,1.7212764680961366e-08
50.0,90.0,0.0991,0.1882,0.1611177812950031,0.75,2.2417622078516888e-06
50.0,90.0,0.0991,0.1882,0.1611177812950031,1.0,2.6836078654408357e-05
50.0,90.0,0.0991,0.1882,0.26330071698522917,0.25,3.0387648684912855e-06
50.0,90.0,0.0991,0.1882,0.26330071698522917,0.5,0.0010178289361506832
50.0,90.0,0.0991,0.1882,0.26330071698522917,0.75,0.008178117475860702
50.0,90.0,0.0991,0.1882,0.26330071698522917,1.0,0.02439392761436014
50.0,90.0,0.0991,0.1882,0.38590108597281136,0.25,0.00265321396864775
50.0,90.0,0.0991,0.1882,0.38590108597281136,0.5,0.058836480228135035
50.0,90.0,0.0991,0.1882,0.38590108597281136,0.75,0.18868411667161206
50.0,90.0,0.0991,0.1882,0.38590108597281136,1.0,0.3540243263123797
50.0,90.0,0.0991,0.1882,0.7066863283197075,0.25,0.38729769055862806
50.0,90.0,0.0991,0.1882,0.7066863283197075,0.5,1.4957198287238567
50.0,90.0,0.0991,0.1882,0.7066863283197075,0.75,2.6049187950968027
50.0,90.0,0.0991,0.1882,0.7066863283197075,1.0,3.5632428359194623
50.0,90.0,0.14365,0.01,0.001,0.25,0.0
50.0,90.0,0.14365,0.01,0.001,0.5,0.0
50.0,90.0,0.14365,0.01,0.001,0.75,0.0
50.0,90.0,0.14365,0.01,0.001,1.0,0.0
50.0,90.0,0.14365,0.01,0.1611177812950031,0.25,2.190453738108235e-12
50.0,90.0,0.14365,0.01,0.1611177812950031,0.5,3.5619811009020164e-06
50.0,90.0,0.14365,0.01,0.1611177812950031,0.75,0.00052770463669503
50.0,90.0,0.14365,0.01,0.1611177812950031,1.0,0.007134089448225948
50.0,90.0,0.14365,0.01,0.26330071698522917,0.25,2.3761115563615093e-05
50.0,90.0,0.14365,0.01,0.26330071698522917,0.5,0.009170804640814961
50.0,90.0,0.14365,0.01,0.26330071698522917,0.75,0.08357779935192979
50.0,90.0,0.14365,0.01,0.26330071698522917,1.0,0.2796933584526659
50.0,90.0,0.14365,0.01,0.38590108597281136,0.25,0.007512021580798186
50.0,90.0,0.14365,0.01,0.38590108597281136,0.5,0.18876417773240634
50.0,90.0,0.14365,0.01,0.38590108597281136,0.75,0.6740035237411957
50.0,90.0,0.14365,0.01,0.38590108597281136,1.0,1.392675855814813
50.0,90.0,0.14365,0.01,0.7066863283197075,0.25,0.5746554676387351
50.0,90.0,0.14365,0.01,0.7066863283197075,0.5,2.4276177474899123
50.0,90.0,0.14365,0.01,0.7066863283197075,0.75,4.559216438869128
50.0,90.0,0.14365,0.01,0.7066863283197075,1.0,6.672490531433034
50.0,90.0,0.14365,0.05455,0.001,0.25,0.0
50.0,90.0,0.14365,0.05455,0.001,0.5,0.0
50.0,90.0,0.14365,0.05455,0.001,0.75,0.0
50.0,90.0,0.14365,0.05455,0.001,1.0,0.0
50.0,90.0,0.14365,0.05455,0.1611177812950031,0.25,8.024946199900168e-13
50.0,90.0,0.14365,0.05455,0.1611177812950031,0.5,1.3115104999571323e-06
50.0,90.0,0.14365,0.05455,0.1611177812950031,0.75,0.00019531564982630767
50.0,90.0,0.14365,0.05455,0.1611177812950031,1.0,0.0026545609864595016
50.0,90.0,0.14365,0.05455,0.26330071698522917,0.25,1.5923092070208875e-05
50.0,90.0,0.14365,0.05455,0.26330071698522917,0.5,0.006032388457200201
50.0,90.0,0.14365,0.05455,0.26330071698522917,0.75,0.054092908781343894
50.0,90.0,0.14365,0.05455,0.26330071698522917,1.0,0.1784111660293836
50.0,90.0,0.14365,0.05455,0.38590108597281136,0.25,0.006122633612959983
50.0,90.0,0.14365,0.05455,0.38590108597281136,0.5,0.15048942595078216
50.0,90.0,0.14365,0.05455,0.38590108597281136,0.75,0.5272762407377599
50.0,90.0,0.14365,0.05455,0.38590108597281136,1.0,1.0712200123045759
50.0,90.0,0.14365,0.05455,0.7066863283197075,0.25,0.530698420564667
50.0,90.0,0.14365,0.05455,0.7066863283197075,0.5,2.200116446501479
50.0,90.0,0.14365,0.05455,0.7066863283197075,0.75,4.066195153074439
50.0,90.0,0.14365,0.05455,0.7066863283197075,1.0,5.865176851150317
50.0,90.0,0.14365,0.0991,0.001,0.25,0.0
50.0,90.0,0.14365,0.0991,0.001,0.5,0.0
50.0,90.0,0.14365,0.0991,0.001,0.75,0.0
50.0,90.0,0.14365,0.0991,0.001,1.0,0.0
